17	19	16	47	46	46	54
98	26	99	45	64	62	47
48	78	67	24	63	87	73
94	37	57	15	91	68	97
40	80	79	27	19	32	92
56	78	60	77	75	15	96
82	51	18	46	97	45	95
27	63	12	70	36	95	43
58	55	39	87	10	93	85
19	44	91	67	63	95	46
30	54	80	75	30	88	73
49	24	16	43	16	77	55
45	43	16	59	12	16	68
17	50	86	85	20	96	69
61	85	15	56	14	70	71
70	59	14	35	48	77	55
74	67	67	40	40	76	96
43	26	52	36	46	25	81
87	59	84	10	88	69	25
79	11	30	52	97	16	72
88	22	34	72	60	55	64
24	42	60	46	29	87	15
40	97	83	51	90	32	59
82	26	38	68	81	23	92
18	64	30	82	17	28	57
73	14	82	20	46	100	50
97	91	11	92	79	73	42
25	15	60	37	78	12	98
12	52	94	29	30	67	34
81	46	100	97	35	48	29
70	47	64	98	51	72	65
100	53	76	95	65	92	69
40	92	88	62	10	18	51
89	68	41	23	71	79	66
71	27	81	29	91	86	73
41	61	74	25	87	40	61
68	100	70	78	24	79	26
95	66	46	13	85	47	34
76	12	23	15	92	94	31
87	47	35	23	51	26	70
80	56	74	44	38	21	58
65	62	77	10	94	43	88
83	65	41	97	97	41	46
49	56	43	32	24	12	93
94	14	94	81	30	32	12
62	17	63	35	65	21	80
97	56	82	75	100	26	50
22	59	52	41	82	52	41
70	41	100	49	23	41	44
33	50	68	19	44	80	27
70	65	52	60	46	32	96
68	69	96	51	95	23	95
87	92	20	100	54	86	53
61	49	14	64	98	43	90
43	73	92	10	12	22	34
14	23	53	55	19	32	79
39	75	57	17	70	86	24
35	58	48	20	79	61	75
26	15	79	23	51	17	56
92	34	74	96	63	84	36
16	11	28	81	11	49	29
29	38	63	46	29	49	10
50	20	27	64	85	83	62
85	21	43	84	63	64	78
85	54	92	58	68	62	88
70	14	26	26	64	26	37
52	16	93	75	58	74	73
56	64	78	96	83	82	43
71	79	40	93	40	95	82
51	80	93	54	63	55	39
35	72	16	30	99	88	73
75	80	39	58	24	37	79
33	28	21	32	11	11	20
74	24	42	33	67	16	29
20	94	22	93	81	48	33
98	39	59	57	82	58	91
91	90	66	80	49	79	56
34	74	16	54	59	46	40
75	24	78	63	75	69	45
71	18	75	52	17	56	85
87	19	78	85	41	74	44
25	80	47	100	40	59	14
97	21	31	67	78	51	95
28	33	72	59	76	24	40
32	59	51	73	98	26	31
46	32	42	77	38	58	13
25	97	81	15	38	23	19
67	60	31	45	47	77	14
27	58	99	26	91	58	18
69	71	20	82	36	76	56
11	18	17	20	64	39	78
24	74	48	57	70	73	83
43	93	26	24	43	15	48
81	65	99	55	74	67	33
95	43	76	69	44	77	29
33	76	27	10	59	75	45
63	40	40	43	59	86	71
23	44	96	64	75	93	40
15	68	74	57	37	10	92
26	84	73	66	69	41	58
95	72	56	18	74	71	44
90	80	46	68	68	49	97
39	49	14	99	67	90	78
91	21	24	12	83	34	74
96	81	41	43	57	40	77
42	45	17	27	84	70	25
60	34	21	51	52	75	99
61	100	89	87	49	69	68
84	25	68	29	34	88	75
86	25	51	67	10	11	52
47	59	71	93	98	26	25
91	85	76	59	15	70	24
31	60	38	43	71	100	39
75	89	23	81	92	21	92
81	53	80	12	15	35	97
43	60	35	81	73	32	55
24	58	91	83	98	96	33
98	64	45	45	76	39	83
74	39	56	67	54	93	46
83	20	48	13	48	81	25
86	91	38	17	94	56	77
46	23	79	86	18	76	64
14	46	41	11	61	36	46
20	16	17	24	73	35	53
44	11	58	69	47	16	44
53	30	38	36	57	85	60
25	100	45	93	55	92	83
91	24	26	85	80	11	60
45	80	36	94	92	79	77
61	15	38	20	68	32	51
94	82	85	93	14	48	24
94	71	28	56	15	47	67
96	37	32	56	42	41	92
75	54	69	12	37	87	23
75	32	54	69	43	93	85
70	13	32	47	64	34	59
75	23	61	97	60	28	26
43	11	10	94	11	37	38
46	38	56	54	85	62	49
35	99	19	67	24	38	41
79	45	95	30	56	53	39
48	21	64	84	54	49	89
72	58	42	38	58	19	21
98	91	28	24	35	46	54
40	58	90	90	35	17	26
66	92	100	28	33	18	46
16	31	80	54	18	67	56
100	58	84	51	28	79	52
38	22	89	97	82	41	37
